Policy,Utility,Lower Bound,Upper Bound
"(1, 2, 2, -1, 0, nan, 1, -1, 2, 1, 2, 3)","[-0.04, -0.071968, -0.04, 1.0, -0.04, 0.0, -0.043996, -1.0, -0.04, -0.043996, -0.0443952004, -0.04443508051996]",1.0440188305211033,1.1179931542544492
"(2, 1, 3, -1, 2, nan, 2, -1, 3, 2, 3, 2)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.071968, 0.0, -0.04443508051996, -1.0, -0.04, -0.071968, -0.0471896032, -0.1399]",0.6615360890521318,0.7520326194480407
"(0, 3, 0, -1, 1, nan, 0, -1, 3, 2, 0, 1)","[-0.04, -0.071968, -0.04, 1.0, -0.04, 0.0, -0.04, -1.0, -0.043996, -0.0443952004, -0.043996, -0.0443952004]",0.7623244925615689,1.1082571254534346
"(2, 1, 1, -1, 1, nan, 1, -1, 1, 0, 2, 3)","[-0.04, -0.04, -0.043996, 1.0, -0.043996, 0.0, -0.07516160320000001, -1.0, -0.0443952004, -0.04443508051996, -0.10450821782138403, -0.22342296768285014]",2.485048382470055,4.2823539965355675
"(2, 3, 2, -1, 3, nan, 1, -1, 1, 3, 3, 1)","[-0.04, -0.071968, -0.0975168256, 1.0, -0.043996, 0.0, -0.04974193087744, -1.0, -0.0443952004, -0.04443508051996, -0.044439064543944, -0.1399]",0.39849383657669457,0.44141260339722654
"(0, 2, 0, -1, 3, nan, 0, -1, 0, 3, 1, 0)","[-0.04, -0.04, -0.043996, 1.0, -0.043996, 0.0, -0.0443952004, -1.0, -0.0443952004, -0.04, -0.04443508051996, -0.17541251635155206]",1.4927341062985626,1.8992893238573234
"(2, 0, 2, -1, 2, nan, 3, -1, 1, 2, 1, 2)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.043996, 0.0, -0.07548064415968, -1.0, -0.07516160320000001, -0.04, -0.07950851635155204, -0.8471429007835201]",2.0573782862766365,3.387348915372958
"(1, 3, 2, -1, 2, nan, 2, -1, 3, 2, 2, 2)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.04, 0.0, -0.04443508051996, -1.0, -0.043996, -0.0443952004, -0.07991970870362401, -0.04798397889949204]",0.6603123989977703,0.7519987521658889
"(0, 1, 1, -1, 3, nan, 1, -1, 0, 0, 3, 3)","[-0.04, -0.04, -0.043996, 1.0, -0.04, 0.0, -0.04, -1.0, -0.043996, -0.0443952004, -0.04443508051996, -0.044439064543944]",0.4438253012829794,0.5616208840049222
"(2, 1, 1, -1, 3, nan, 2, -1, 2, 3, 0, 3)","[-0.04, -0.071968, -0.0975168256, 1.0, -0.043996, 0.0, -0.04974193087744, -1.0, -0.07516160320000001, -0.04750864415968, -0.04496921889465626, -0.1399]",1.6113662083930873,2.670871399556705
