Policy,Utility,Lower Bound,Upper Bound
"(3, 3, 1, -1, 3, nan, 3, -1, 1, 0, 2, 0)","[-0.04, -0.04, -0.043996, 1.0, -0.043996, 0.0, -0.07516160320000001, -1.0, -0.0443952004, -0.04443508051996, -0.04750864415968, -0.04474611355155203]",1.9103327927072493,2.2690255726336725
"(2, 3, 3, -1, 0, nan, 0, -1, 2, 0, 0, 2)","[-0.04, -0.04, -0.071968, 1.0, -0.043996, 0.0, -0.0471896032, -1.0, -0.0443952004, -0.04443508051996, -0.044439064543944, -0.8436394625479401]",1.5834401522736252,1.7827165694819338
"(3, 3, 3, -1, 1, nan, 2, -1, 3, 2, 2, 0)","[-0.04, -0.04, -0.04, 1.0, -0.071968, 0.0, -0.071968, -1.0, -0.04, -0.043996, -0.101912026, -0.0501810113974]",1.8080444324187224,1.9927676547392736
"(2, 0, 2, -1, 1, nan, 1, -1, 0, 1, 0, 1)","[-0.04, -0.04, -0.04, 1.0, -0.043996, 0.0, -0.04, -1.0, -0.0443952004, -0.04443508051996, -0.044439064543944, -0.8436394625479401]",1.6099695333275856,2.3054208971111265
"(0, 3, 1, -1, 3, nan, 2, -1, 0, 2, 2, 0)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.043996, 0.0, -0.04443508051996, -1.0, -0.07516160320000001, -0.10006915327744001, -0.08550942476396829, -0.20823913227136345]",1.0810364269171242,2.0668612667389237
"(0, 2, 3, -1, 0, nan, 2, -1, 3, 3, 2, 3)","[-0.04, -0.04, -0.071968, 1.0, -0.043996, 0.0, -0.04, -1.0, -0.07516160320000001, -0.04750864415968, -0.04474611355155203, -0.8436701367438002]",2.080740138191464,2.672620159186959
"(0, 0, 3, -1, 0, nan, 1, -1, 3, 3, 1, 1)","[-0.04, -0.043996, -0.04, 1.0, -0.071968, 0.0, -0.04, -1.0, -0.0471896032, -0.04, -0.043996, -0.1399]",2.3152301824189974,9.833168919712303
"(3, 0, 1, -1, 1, nan, 0, -1, 0, 3, 1, 0)","[-0.04, -0.043996, -0.04, 1.0, -0.071968, 0.0, -0.043996, -1.0, -0.0471896032, -0.04, -0.0763632004, -0.20092946975968004]",2.0770196731029658,7.342687986176864
"(1, 2, 2, -1, 2, nan, 0, -1, 0, 2, 1, 0)","[-0.04, -0.043996, -0.07516160320000001, 1.0, -0.043996, 0.0, -0.10006915327744001, -1.0, -0.07516160320000001, -0.04, -0.08196490841241627, -0.8473882943504004]",1.970626356117319,2.9692906973821085
"(3, 0, 3, -1, 2, nan, 1, -1, 3, 3, 2, 3)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.04, 0.0, -0.07548064415968, -1.0, -0.071968, -0.0471896032, -0.08525444722899203, -0.8477169192781764]",1.491096642522274,1.9548877451977589
"(3, 3, 3, -1, 3, nan, 2, -1, 0, 1, 2, 1)","[-0.04, -0.043996, -0.04, 1.0, -0.04, 0.0, -0.043996, -1.0, -0.043996, -0.04, -0.043996, -0.1399]",1.931400470004913,5.3333997190649605
"(2, 1, 2, -1, 1, nan, 0, -1, 1, 1, 1, 2)","[-0.04, -0.04, -0.04, 1.0, -0.043996, 0.0, -0.04, -1.0, -0.07516160320000001, -0.10006915327744001, -0.04999690841241626, -0.17985752920320308]",1.816483975095825,2.525368179353964
"(2, 2, 2, -1, 1, nan, 2, -1, 1, 2, 2, 3)","[-0.04, -0.071968, -0.0471896032, 1.0, -0.043996, 0.0, -0.07771393087744, -1.0, -0.0443952004, -0.07548064415968, -0.10808775250707253, -0.05079796647545655]",0.3971107070098554,0.44185586813510147
"(2, 3, 0, -1, 0, nan, 0, -1, 1, 0, 0, 1)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.043996, 0.0, -0.04, -1.0, -0.0443952004, -0.04443508051996, -0.044439064543944, -0.1399]",0.46986612135418954,0.5217573894702714
"(2, 3, 0, -1, 2, nan, 1, -1, 3, 2, 3, 3)","[-0.04, -0.04, -0.043996, 1.0, -0.071968, 0.0, -0.07516160320000001, -1.0, -0.0471896032, -0.04471424135968, -0.10453610598927204, -0.22344525590662623]",2.2050161742444105,2.964139534491588
"(3, 2, 3, -1, 2, nan, 2, -1, 2, 2, 2, 2)","[-0.04, -0.04, -0.043996, 1.0, -0.04, 0.0, -0.0443952004, -1.0, -0.043996, -0.0443952004, -0.04443508051996, -0.1399]",2.166098929659268,2.9252774535893304
"(0, 1, 3, -1, 2, nan, 2, -1, 3, 2, 2, 3)","[-0.04, -0.043996, -0.04, 1.0, -0.04, 0.0, -0.04, -1.0, -0.04, -0.043996, -0.0443952004, -0.04443508051996]",0.0,-1.0013280123414879e-15
"(3, 0, 2, -1, 0, nan, 2, -1, 0, 1, 3, 0)","[-0.04, -0.071968, -0.04, 1.0, -0.04, 0.0, -0.04, -1.0, -0.043996, -0.0443952004, -0.04443508051996, -0.1399]",1.092197616788768,1.3479775706594856
"(1, 3, 1, -1, 1, nan, 2, -1, 0, 1, 0, 2)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.071968, 0.0, -0.04, -1.0, -0.0975168256, -0.11793544701952, -0.043996, -0.8435952004]",2.3667980897647083,9.033228748981891
"(2, 3, 2, -1, 2, nan, 1, -1, 3, 3, 1, 3)","[-0.04, -0.04, -0.071968, 1.0, -0.043996, 0.0, -0.04, -1.0, -0.07516160320000001, -0.10006915327744001, -0.08196490841241627, -0.04818829435040039]",0.4499518734511602,0.5468091174421679
